Club,County,Province,Latitude,Longitude,Status
Tyrellstown,Dublin,Leinster,53.421478,-6.383366,matched_generic
UCD,Dublin,Leinster,53.306893,-6.227638,matched_gaa
"Wanderers GAA, Ballyboden",Dublin,Leinster,53.260105,-6.302656,matched_gaa
Whitehall Colmcille,Dublin,Leinster,53.380772,-6.242804,matched_gaa
"Wild Geese GAA, Oldtown",Dublin,Leinster,53.526408,-6.315398,matched_gaa
Allenwood,Kildare,Leinster,53.290002,-6.873511,matched_gaa
Ardclough,Kildare,Leinster,53.297487,-6.56542,matched_gaa
Athgarvan,Kildare,Leinster,53.148899,-6.800989,matched_gaa
Athy,Kildare,Leinster,52.992993,-6.969735,matched_gaa
Ballykelly,Kildare,Leinster,53.156792,-7.05305,matched_gaa
Ballymore Eustace,Kildare,Leinster,53.129974,-6.587142,matched_gaa
Ballyteague,Kildare,Leinster,53.266,-6.865816,matched_gaa
Broadford,Kildare,Leinster,53.390092,-6.996703,matched_gaa
Cappagh,Kildare,Leinster,53.3967772,-6.7515072,matched_gaa
Caragh,Kildare,Leinster,53.283761,-6.762845,matched_gaa
Carbury,Kildare,Leinster,53.344435,-6.927296,matched_gaa
Castledermot,Kildare,Leinster,52.910728,-6.844689,matched_gaa
Castlemitchell,Kildare,Leinster,53.022269,-7.032532,matched_gaa
Celbridge,Kildare,Leinster,53.331261,-6.528012,matched_gaa
Clane,Kildare,Leinster,53.289259,-6.693907,matched_gaa
Clogherinkoe,Kildare,Leinster,53.390088,-6.996707,matched_gaa
Coill Dubh,Kildare,Leinster,53.294468,-6.821423,matched_gaa
Confey,Kildare,Leinster,53.374551,-6.481888,matched_gaa
Eadestown,Kildare,Leinster,53.198398,-6.585469,matched_gaa
Ellistown,Kildare,Leinster,53.184792,-6.984758,matched_gaa
Grangenolvin,Kildare,Leinster,52.966296,-6.954673,matched_gaa
Johnstownbridge,Kildare,Leinster,53.392898,-6.845747,matched_gaa
Kilcock,Kildare,Leinster,53.394146,-6.667536,matched_gaa
Kilcullen,Kildare,Leinster,53.126941,-6.75478,matched_gaa
Kildangan,Kildare,Leinster,53.100257,-7.000252,matched_gaa
Kildare GAA,Kildare,Leinster,53.179575,-6.79698,matched_gaa
Kill,Kildare,Leinster,53.244591,-6.598358,matched_gaa
Leixlip,Kildare,Leinster,53.36442,-6.502629,matched_gaa
Maynooth,Kildare,Leinster,53.388073,-6.599887,matched_gaa
Milltown,Kildare,Leinster,53.204571,-6.855672,matched_generic
Monasterevan,Kildare,Leinster,53.139976,-7.054484,matched_gaa
Moorefield,Kildare,Leinster,53.172502,-6.851375,matched_gaa
Naas,Kildare,Leinster,53.229577,-6.663065,matched_gaa
Nurney,Kildare,Leinster,53.104164,-6.940144,matched_gaa
Raheens,Kildare,Leinster,53.233792,-6.719323,matched_gaa
Rathangan,Kildare,Leinster,53.226809,-6.989049,matched_gaa
Rathcoffey,Kildare,Leinster,53.332817,-6.691077,matched_gaa
Rheban,Kildare,Leinster,53.026596,-6.998186,matched_gaa
Robertstown,Kildare,Leinster,53.277003,-6.820462,matched_gaa
Rosglas,Kildare,Leinster,53.135089,-7.042018,matched_gaa
Round Towers,Kildare,Leinster,53.160935,-6.9138,matched_gaa
Sallins,Kildare,Leinster,53.250618,-6.661872,matched_gaa
Sarsfields,Kildare,Leinster,53.188192,-6.812509,matched_gaa
St. Kevin's,Kildare,Leinster,53.331027,-6.760959,matched_gaa
St. Laurence's,Kildare,Leinster,53.042157,-6.857706,matched_gaa
Straffan,Kildare,Leinster,53.311276,-6.606638,matched_gaa
Suncroft,Kildare,Leinster,53.10704,-6.857612,matched_gaa
Twomilehouse,Kildare,Leinster,53.160765,-6.690674,matched_gaa
Éire Óg Corra Choill,Kildare,Leinster,53.254828,-6.738619,matched_gaa
Ballyhale Shamrocks,Kilkenny,Leinster,52.469664,-7.204296,matched_generic
Barrow Rangers,Kilkenny,Leinster,52.683692,-7.026966,matched_gaa
Bennettsbridge,Kilkenny,Leinster,52.59514,-7.180986,matched_gaa
Black and Whites,Kilkenny,Leinster,52.591726,-6.959316,matched_gaa
Carrickshock,Kilkenny,Leinster,52.453663,-7.250298,matched_gaa
Carrigeen,Kilkenny,Leinster,52.288315,-7.223781,matched_gaa
Clara,Kilkenny,Leinster,52.64507,-7.146446,matched_gaa
Cloneen,Kilkenny,Leinster,52.868445,-7.16704,matched_gaa
Conahy Shamrocks,Kilkenny,Leinster,52.720434,-7.2918,matched_gaa
Danesfort,Kilkenny,Leinster,52.583603,-7.240626,matched_gaa
Dicksboro,Kilkenny,Leinster,52.656991,-7.273072,matched_gaa
Dunnamaggin,Kilkenny,Leinster,52.499297,-7.291409,matched_gaa
Emeralds,Kilkenny,Leinster,52.725221,-7.576852,matched_gaa
Erins Own,Kilkenny,Leinster,52.784294,-7.214025,matched_gaa
Erins Own,Kilkenny,Leinster,52.808206,-7.20819,matched_generic
"Fenians GAA, Johnstown",Kilkenny,Leinster,52.752873,-7.565115,matched_gaa
Galmoy,Kilkenny,Leinster,52.791456,-7.569937,matched_gaa
Glenmore,Kilkenny,Leinster,52.350423,-7.026131,no_match
Graignamanagh,Kilkenny,Leinster,52.545976,-6.9608,matched_gaa
Graigue Ballycallan,Kilkenny,Leinster,52.617875,-7.420821,matched_gaa
"James Stephens, Kilkenny",Kilkenny,Leinster,52.642994,-7.24471,matched_gaa
"John Lockes GAA, Callan",Kilkenny,Leinster,52.540144,-7.387126,matched_gaa
Kilkenny GAA,Kilkenny,Leinster,52.656324,-7.241951,matched_gaa
Kilmacow,Kilkenny,Leinster,52.310343,-7.173136,matched_gaa
Kilmoganny,Kilkenny,Leinster,52.466114,-7.327578,matched_gaa
Lisdowney,Kilkenny,Leinster,52.790025,-7.38991,matched_gaa
Mooncoin,Kilkenny,Leinster,52.293973,-7.259106,matched_gaa
Muckalee,Kilkenny,Leinster,52.746345,-7.179606,matched_gaa
Mullinavat,Kilkenny,Leinster,52.366405,-7.175895,matched_gaa
O'Loughlin Gaels,Kilkenny,Leinster,52.658583,-7.235611,matched_gaa
Piltown,Kilkenny,Leinster,52.360108,-7.329881,matched_gaa
Railyard,Kilkenny,Leinster,52.838245,-7.154363,matched_generic
Rower Inistioge,Kilkenny,Leinster,52.489652,-7.063449,matched_gaa
Slieverue,Kilkenny,Leinster,52.286663,-7.069631,matched_gaa
St. Lachtains,Kilkenny,Leinster,52.730964,-7.393092,matched_gaa
St. Martins,Kilkenny,Leinster,52.789695,-7.120046,matched_gaa
"St. Patrick's, Ballyragget",Kilkenny,Leinster,52.781208,-7.334431,matched_gaa
Thomastown,Kilkenny,Leinster,52.522908,-7.130235,matched_generic
Threecastles,Kilkenny,Leinster,52.703787,-7.312646,matched_gaa
Tullaroan,Kilkenny,Leinster,52.660457,-7.444648,matched_gaa
Tullogher Rosbercon,Kilkenny,Leinster,52.414533,-7.02003,matched_gaa
Windgap,Kilkenny,Leinster,52.462944,-7.396197,matched_gaa
"Young Irelands GAA, Gowran",Kilkenny,Leinster,52.631439,-7.052133,matched_gaa
Annanough,Laois,Leinster,53.051735,-7.091181,matched_gaa
Arles-Kilcruise,Laois,Leinster,52.894883,-7.025899,matched_gaa
Arles-Killeen,Laois,Leinster,52.892833,-6.99585,matched_gaa
Ballinakill,Laois,Leinster,52.880695,-7.308334,matched_gaa
Ballyfin,Laois,Leinster,53.05717,-7.406286,matched_gaa
Ballylinan,Laois,Leinster,52.938777,-7.039226,matched_gaa
Ballypickas,Laois,Leinster,52.91321,-7.294574,matched_gaa
Ballyroan Abbey,Laois,Leinster,52.943535,-7.293942,matched_gaa
Barrowhouse,Laois,Leinster,52.947144,-6.994342,matched_gaa
Borris in Ossory,Laois,Leinster,52.941232,-7.618571,matched_gaa
Camross,Laois,Leinster,52.997237,-7.561707,matched_gaa
Castletown,Laois,Leinster,52.980062,-7.503658,matched_gaa
Clonad,Laois,Leinster,52.99382,-7.296167,matched_gaa
Clonaslee/St Manmans,Laois,Leinster,53.151351,-7.526209,matched_gaa
Clough Ballacolla,Laois,Leinster,52.881749,-7.451694,matched_gaa
Courtwood,Laois,Leinster,53.103835,-7.083775,matched_gaa
Crettyard,Laois,Leinster,52.865801,-7.105656,matched_gaa
Emo,Laois,Leinster,53.099064,-7.207754,matched_generic
Graiguecullen,Laois,Leinster,52.841881,-6.942296,matched_gaa
Kilcavan,Laois,Leinster,53.195351,-7.368801,matched_gaa
Kilcotton,Laois,Leinster,52.931646,-7.577607,matched_gaa
Killeshin,Laois,Leinster,52.854389,-6.997778,matched_gaa
Kyle,Laois,Leinster,52.960107,-7.691114,matched_gaa
Laois GAA,Laois,Leinster,53.026013,-7.304486,matched_gaa
Mountmellick,Laois,Leinster,53.103632,-7.303888,matched_gaa
O Dempseys,Laois,Leinster,53.118471,-7.146399,matched_gaa
Park/Ratheniska GAA,Laois,Leinster,53.006669,-7.217325,matched_gaa
Portarlington,Laois,Leinster,53.148912,-7.179322,matched_gaa
Portlaoise,Laois,Leinster,53.025055,-7.264502,matched_gaa
Rathdowney,Laois,Leinster,52.853116,-7.587692,matched_gaa
Rathdowney Errill GAA Club,Laois,Leinster,52.867401,-7.68154,matched_gaa
Rosenallis,Laois,Leinster,53.139529,-7.415844,matched_gaa
Shanahoe,Laois,Leinster,52.909724,-7.406351,matched_gaa
Slieve Bloom,Laois,Leinster,53.032579,-7.502013,matched_gaa
Spink,Laois,Leinster,52.906705,-7.267546,matched_gaa
"St Fintans GAA, Mountrath",Laois,Leinster,53.00238,-7.477547,matched_gaa
St Josephs GAA,Laois,Leinster,52.989329,-7.090436,matched_gaa
"St Lazerians GAA, Abbeyleix",Laois,Leinster,52.912785,-7.352875,matched_gaa
"St. Fintan's GAA, Colt",Laois,Leinster,52.967084,-7.36911,matched_gaa
Stradbally GAA,Laois,Leinster,53.008704,-7.145755,matched_gaa
The Harps,Laois,Leinster,52.850299,-7.396194,matched_gaa
The Heath,Laois,Leinster,53.065857,-7.215534,matched_gaa
The Rock,Laois,Leinster,53.115682,-7.294205,matched_gaa
Timahoe,Laois,Leinster,52.969269,-7.212512,matched_gaa
Trumera,Laois,Leinster,52.976093,-7.430269,matched_gaa
Abbeylara,Longford,Leinster,53.758594,-7.458023,matched_gaa
Ardagh Moydow,Longford,Leinster,53.669649,-7.705963,matched_gaa
Ardagh Moydow,Longford,Leinster,53.666695,-7.779911,matched_generic
Ballymahon GAA,Longford,Leinster,53.569432,-7.76097,matched_gaa
Ballymore,Longford,Leinster,53.77169,-7.537271,matched_gaa
Carrickedmond,Longford,Leinster,53.602344,-7.71144,matched_gaa
Cashel,Longford,Leinster,53.584544,-7.936965,matched_gaa
Clonguish,Longford,Leinster,53.76046,-7.830908,matched_gaa
Colmcille,Longford,Leinster,53.824735,-7.614641,matched_gaa
Dromard,Longford,Leinster,53.896126,-7.660425,matched_generic
Fr. Manning Gaels,Longford,Leinster,53.837486,-7.740699,matched_gaa
Grattan Óg,Longford,Leinster,53.693425,-7.817861,matched_gaa
Kenagh,Longford,Leinster,53.623441,-7.819703,matched_gaa
Killoe Young Emmets,Longford,Leinster,53.762295,-7.734641,matched_gaa
Legan Sarsfields,Longford,Leinster,53.623913,-7.632101,matched_gaa
Longford GAA,Longford,Leinster,53.739491,-7.807187,matched_gaa
Longford Slashers,Longford,Leinster,53.716092,-7.800573,matched_gaa
Mostrim,Longford,Leinster,53.692861,-7.615941,matched_gaa
Rathcline,Longford,Leinster,53.675491,-7.973552,matched_gaa
Sean Connolly's,Longford,Leinster,53.76839,-7.650594,matched_generic
Shroid Slashers (Disbanded),Longford,Leinster,53.71753,-7.728113,matched_gaa
"St. Brigid's GAA, Killashee",Longford,Leinster,53.690047,-7.884277,matched_gaa
"St. Columba's GAA, Mullinalaghta ",Longford,Leinster,53.82248,-7.528401,matched_gaa
"St. Mary's GAA, Granard",Longford,Leinster,53.77244,-7.487026,matched_gaa
"St. Munis GAA, Forgney",Longford,Leinster,53.556729,-7.721522,matched_generic
Annaghminnon Rovers GAA,Louth,Leinster,53.96569,-6.601979,matched_gaa
"Clan Na Gael, Dundalk",Louth,Leinster,54.011003,-6.413075,matched_gaa
Cooley Kickhams,Louth,Leinster,54.010047,-6.169273,matched_gaa
"Cuchulainn Gaels, Omeath",Louth,Leinster,54.082846,-6.256276,matched_generic
"Dreadnots GAA, Clogherhead",Louth,Leinster,53.778702,-6.247022,matched_gaa
Dundalk Young Irelands,Louth,Leinster,53.99012,-6.389918,matched_generic
Dundalks Gaels,Louth,Leinster,53.999074,-6.401148,matched_gaa
Geraldines,Louth,Leinster,53.96349,-6.403522,matched_gaa
"Glen Emmets, Tullyallen",Louth,Leinster,53.737838,-6.423145,matched_gaa
Glyde Rangers,Louth,Leinster,53.917454,-6.545497,matched_generic
Hunterstown Rovers,Louth,Leinster,53.825563,-6.531357,matched_generic
John Mitchels,Louth,Leinster,53.879226,-6.52075,matched_gaa
Kilkerly Emmets,Louth,Leinster,54.008474,-6.466679,matched_generic
Lannleire GAA,Louth,Leinster,53.830233,-6.405965,matched_generic
Louth GAA,Louth,Leinster,53.723581,-6.359378,matched_gaa
Louth GAA Centre of Excellence,Louth,Leinster,53.9321538,-6.4622532,matched_gaa
"Mattock Rangers, Collon",Louth,Leinster,53.774491,-6.480678,matched_gaa
"Na Piaraigh GAA, Dundalk",Louth,Leinster,53.986357,-6.373212,matched_generic
Naomh Fionnbarra GAA,Louth,Leinster,53.872456,-6.344213,matched_gaa
"Naomh Mairtin GAA, Monasterboice",Louth,Leinster,53.769148,-6.39743,matched_gaa
Naomh Malachi GAA,Louth,Leinster,54.045885,-6.563938,matched_generic
Newtown Blues GAA,Louth,Leinster,53.726574,-6.32458,matched_gaa
"O'Connell's GAA, Castlebenningham",Louth,Leinster,53.894484,-6.386733,matched_gaa
"O'Raghallaighs, Drogheda",Louth,Leinster,53.72368,-6.359483,matched_gaa
"Oliver Plunketts GAA, Drogheda",Louth,Leinster,53.722269,-6.381585,matched_gaa
Roche Emmets GAA,Louth,Leinster,54.039322,-6.462998,matched_gaa
Sean McDermotts GAA,Louth,Leinster,53.887601,-6.594566,matched_generic
"Sean O'Mahonys GAA, Dundalk",Louth,Leinster,54.006938,-6.375461,matched_gaa
St. Brides GAA,Louth,Leinster,53.967123,-6.477932,matched_gaa
"St. Bridget's GAA, Dowdallshill",Louth,Leinster,54.024022,-6.396879,matched_gaa
"St. Fechin's GAA, Termonfeckin",Louth,Leinster,53.736392,-6.300701,matched_gaa
St. Joseph's GAA,Louth,Leinster,53.932261,-6.409044,matched_generic
"St. Kevin's GAA, Dunleer",Louth,Leinster,53.821835,-6.468736,matched_gaa
"St. Mary's GAA, Ardee",Louth,Leinster,53.842002,-6.543212,matched_gaa
"St. Mochtas GAA, Louth",Louth,Leinster,53.949647,-6.548843,matched_gaa
"St. Nicholas GAA, Drogheda",Louth,Leinster,53.713293,-6.372197,matched_gaa
St. Patrick's GAA,Louth,Leinster,54.001185,-6.265549,matched_gaa
Stabannon Parnells GAA,Louth,Leinster,53.865227,-6.441036,matched_generic
Westerns GAA,Louth,Leinster,53.910503,-6.607847,matched_gaa
"Wolfe Tones GAA, Drogheda",Louth,Leinster,53.704196,-6.359216,matched_gaa
Ballinabrackey GAA,Meath,Leinster,53.396387,-7.108494,matched_gaa
Ballinlough GAA,Meath,Leinster,53.733882,-7.053707,matched_generic
Ballivor GAA,Meath,Leinster,53.53142,-6.966286,matched_gaa
Bective GAA,Meath,Leinster,53.61335,-6.669671,matched_gaa
Blackhall Gaels,Meath,Leinster,53.473157,-6.545263,matched_gaa
Blackhall Gaels,Meath,Leinster,53.437253,-6.602342,matched_gaa
Boardsmill GAA,Meath,Leinster,53.525985,-6.872563,matched_gaa
Carnaross GAA,Meath,Leinster,53.746658,-6.939989,matched_generic
Castletown,Meath,Leinster,53.767342,-6.690196,matched_gaa
Clann na nGael,Meath,Leinster,53.626911,-6.910542,matched_generic
Clann na nGael,Meath,Leinster,53.618187,-6.86765,matched_gaa
Clonard GAA,Meath,Leinster,53.450314,-7.022092,matched_generic
Cortown GAA,Meath,Leinster,53.684191,-6.851621,matched_generic
Curraha,Meath,Leinster,53.554103,-6.454578,matched_generic
Donaghmore/Ashbourne,Meath,Leinster,53.50943,-6.410494,matched_gaa
Drumbaragh Emmett's,Meath,Leinster,53.727573,-6.938186,matched_gaa
Drumconrath GAA,Meath,Leinster,53.84201,-6.656773,matched_gaa
Drumree GAA,Meath,Leinster,53.501901,-6.584931,matched_gaa
Duleek-Bellewstown,Meath,Leinster,53.654461,-6.433657,matched_generic
Duleek-Bellewstown,Meath,Leinster,53.6448196,-6.3531966,matched_generic
Dunderry GAA,Meath,Leinster,53.606629,-6.772329,matched_gaa
Dunsany,Meath,Leinster,53.545872,-6.618177,matched_gaa
Dunshaughlin,Meath,Leinster,53.514759,-6.552474,matched_gaa
Eastern Gaels GAC,Meath,Leinster,53.7231401,-6.2690094,no_match
Gaeil Colmcille,Meath,Leinster,53.71987,-6.880174,matched_gaa
Gaeil Colmcille,Meath,Leinster,53.705484,-6.878868,matched_gaa
Kilbride GAA,Meath,Leinster,53.453252,-6.396768,matched_gaa
Kildalkey,Meath,Leinster,53.570848,-6.902001,matched_generic
Killyon,Meath,Leinster,53.484991,-6.97195,matched_gaa
Kilmainham,Meath,Leinster,53.710995,-6.827317,matched_generic
Kilmainhamwood,Meath,Leinster,53.84595,-6.806986,matched_gaa
Kilmessan,Meath,Leinster,53.566377,-6.647235,matched_generic
Kilskyre GAA,Meath,Leinster,53.688518,-6.991847,matched_gaa
Kiltale GAA,Meath,Leinster,53.52275,-6.661469,matched_gaa
Longwood GAA,Meath,Leinster,53.456396,-6.935679,matched_generic
Meath GAA,Meath,Leinster,53.649804,-6.696301,matched_gaa
Meath GAA Centre of Excellence,Meath,Leinster,53.5780878,-6.721651,matched_gaa
Meath Hill,Meath,Leinster,53.887728,-6.713774,matched_gaa
Moylagh,Meath,Leinster,53.720427,-7.145013,matched_gaa
Moynalty,Meath,Leinster,53.7808,-6.875204,matched_gaa
Moynalvey,Meath,Leinster,53.469269,-6.664575,matched_gaa
"Na Fianna GAA, Enfield",Meath,Leinster,53.410992,-6.822061,matched_gaa
"Na Fianna GAA, Enfield",Meath,Leinster,53.447724,-6.810869,matched_gaa
Nobber GAA,Meath,Leinster,53.819211,-6.745727,matched_gaa
"O'Mahony's GAA, Navan",Meath,Leinster,53.649641,-6.691038,matched_gaa
Oldcastle GAA,Meath,Leinster,53.745702,-7.173826,matched_gaa
Rathkenny GAA,Meath,Leinster,53.742146,-6.616245,matched_gaa
Rathmoylon GAA,Meath,Leinster,53.488564,-6.797912,matched_generic
Ratoath GAA,Meath,Leinster,53.510425,-6.478256,matched_gaa
Seneschalstown GAA,Meath,Leinster,53.683986,-6.588064,matched_gaa
Simonstown Gaels,Meath,Leinster,53.672473,-6.682418,matched_gaa
Skryne,Meath,Leinster,53.583364,-6.547767,matched_gaa
Slane,Meath,Leinster,53.721314,-6.478902,matched_gaa
"St. Brigid's GAA, Ballinacree",Meath,Leinster,53.76196,-7.235007,matched_gaa
St. Colmcille's,Meath,Leinster,53.696083,-6.279859,matched_generic
"St. Mary's GAA, Donore",Meath,Leinster,53.693344,-6.445991,matched_gaa
St. Michael's,Meath,Leinster,53.767768,-6.827061,matched_gaa
"St. Patrick's GAA, Stamullen",Meath,Leinster,53.633309,-6.262855,matched_gaa
St. Paul's,Meath,Leinster,53.433321,-6.47938,matched_gaa
"St. Peter's GAA, Dunboyne",Meath,Leinster,53.410506,-6.474412,matched_gaa
St. Ultan's,Meath,Leinster,53.672183,-6.814886,matched_gaa
"St. Vincent's GAA, Ardcath",Meath,Leinster,53.602144,-6.38274,matched_generic
Summerhill GAA,Meath,Leinster,53.483525,-6.738941,matched_generic
Syddan GAA,Meath,Leinster,53.796112,-6.637596,matched_generic
Trim GAA,Meath,Leinster,53.553324,-6.803895,matched_gaa
Walterstown GAA,Meath,Leinster,53.624359,-6.609117,matched_gaa
Wolfe Tones,Meath,Leinster,53.699722,-6.682203,matched_gaa
Wolfe Tones,Meath,Leinster,53.710273,-6.759951,matched_gaa
Ballinagar,Offaly,Leinster,53.267336,-7.332201,matched_gaa
Ballinamere,Offaly,Leinster,53.292378,-7.564262,matched_gaa
Ballycommon,Offaly,Leinster,53.283634,-7.365185,matched_gaa
Ballycumber,Offaly,Leinster,53.333525,-7.70648,matched_gaa
Ballyfore,Offaly,Leinster,53.307647,-7.136296,matched_gaa
Ballyskenagh,Offaly,Leinster,52.95938,-7.84176,matched_gaa
Belmont,Offaly,Leinster,53.242465,-7.938551,matched_gaa
Birr,Offaly,Leinster,53.091317,-7.908861,matched_gaa
Bracknagh,Offaly,Leinster,53.217184,-7.141327,matched_generic
Brosna Gaels,Offaly,Leinster,53.333488,-7.706587,matched_gaa
Cappincur,Offaly,Leinster,53.273751,-7.449875,matched_gaa
Carrig/Riverstown,Offaly,Leinster,53.058312,-7.980131,matched_gaa
Clara,Offaly,Leinster,53.339565,-7.632382,matched_generic
Clonbullogue,Offaly,Leinster,53.262843,-7.083279,matched_gaa
Clonmore Harps,Offaly,Leinster,53.374428,-7.140655,matched_gaa
Coolderry,Offaly,Leinster,53.014039,-7.844491,matched_gaa
Crinkle,Offaly,Leinster,53.076882,-7.891026,matched_gaa
Daingean,Offaly,Leinster,53.302024,-7.291894,matched_gaa
Doon,Offaly,Leinster,53.331883,-7.830707,matched_gaa
Drumcullen,Offaly,Leinster,53.133569,-7.803453,matched_gaa
Durrow,Offaly,Leinster,53.315589,-7.511349,matched_gaa
Edenderry,Offaly,Leinster,53.35072,-7.052671,matched_gaa
Erin Rovers,Offaly,Leinster,53.282199,-7.720031,matched_gaa
Ferbane,Offaly,Leinster,53.26974,-7.820564,matched_gaa
Gracefield,Offaly,Leinster,53.166078,-7.21698,matched_gaa
Kilclonfert,Offaly,Leinster,53.328171,-7.347666,matched_generic
Kilcormac Killoughey,Offaly,Leinster,53.176372,-7.732654,matched_gaa
Killavilla,Offaly,Leinster,52.960972,-7.732701,no_match
Killeigh,Offaly,Leinster,53.215329,-7.446874,matched_gaa
Killurin,Offaly,Leinster,53.216198,-7.5534,matched_generic
Kinnitty,Offaly,Leinster,53.100934,-7.709021,matched_gaa
Lusmagh,Offaly,Leinster,53.172554,-8.018066,matched_gaa
Offaly GAA,Offaly,Leinster,53.280228,-7.491666,matched_gaa
Offaly GAA,Offaly,Leinster,53.091292,-7.91118,matched_gaa
Raheen,Offaly,Leinster,53.239227,-7.328747,matched_gaa
Rhode,Offaly,Leinster,53.345141,-7.210732,matched_gaa
Seir Kieran,Offaly,Leinster,53.073868,-7.800836,matched_gaa
Shamrocks,Offaly,Leinster,53.25176,-7.541597,matched_gaa
Shannonbridge,Offaly,Leinster,53.265689,-8.004313,matched_gaa
Shinrone,Offaly,Leinster,52.986716,-7.925193,matched_gaa
St Brigids,Offaly,Leinster,53.335992,-7.279623,matched_gaa
St Rynaghs Football,Offaly,Leinster,53.222159,-7.883934,matched_gaa
St Rynaghs Hurling,Offaly,Leinster,53.188666,-7.97513,matched_gaa
Tubber,Offaly,Leinster,53.373398,-7.658652,matched_gaa
Tullamore,Offaly,Leinster,53.279975,-7.494021,matched_gaa
Walsh Island,Offaly,Leinster,53.22904,-7.22579,matched_gaa
Athlone,Westmeath,Leinster,53.428458,-7.926838,matched_gaa
Ballinagore,Westmeath,Leinster,53.414424,-7.447255,matched_generic
Ballycomoyle,Westmeath,Leinster,53.723582,-7.297393,no_match
Ballymore,Westmeath,Leinster,53.499917,-7.66169,matched_gaa
Ballynacargy,Westmeath,Leinster,53.581584,-7.522495,matched_gaa
Brownstown,Westmeath,Leinster,53.662309,-7.10819,no_match
Bunbrosna,Westmeath,Leinster,53.586223,-7.444925,matched_generic
Castledaly,Westmeath,Leinster,53.374744,-7.796737,matched_gaa
Castlepollard GAA,Westmeath,Leinster,53.68095,-7.309868,matched_gaa
Castletown Finea Coole Whitehall,Westmeath,Leinster,53.753173,-7.333594,matched_gaa
Castletown Geoghegan,Westmeath,Leinster,53.448703,-7.482894,matched_generic
Caulry,Westmeath,Leinster,53.431866,-7.797019,matched_gaa
Clonkill,Westmeath,Leinster,53.572446,-7.273672,matched_generic
Coralstown/Kinnegad,Westmeath,Leinster,53.4611,-7.103726,matched_gaa
Crookedwood,Westmeath,Leinster,53.602106,-7.283256,matched_gaa
Delvin,Westmeath,Leinster,53.603121,-7.105715,matched_gaa
Fr. Daltons,Westmeath,Leinster,53.498426,-7.661308,matched_gaa
Garrycastle,Westmeath,Leinster,53.424468,-7.895974,matched_gaa
Kilbeggan Shamrocks,Westmeath,Leinster,53.369014,-7.507892,matched_generic
Killucan,Westmeath,Leinster,53.511011,-7.135337,matched_gaa
Lough Lene Gaels,Westmeath,Leinster,53.648995,-7.224898,matched_generic
Loughnavalley,Westmeath,Leinster,53.484713,-7.540992,no_match
Maryland,Westmeath,Leinster,53.46979,-7.76433,matched_generic
Milltown GAA,Westmeath,Leinster,53.537459,-7.546324,matched_generic
Milltownpass,Westmeath,Leinster,53.440946,-7.248656,no_match
Moate All Whites,Westmeath,Leinster,53.390597,-7.698852,matched_gaa
Mullingar Shamrocks,Westmeath,Leinster,53.530709,-7.332154,matched_gaa
Multyfarnham,Westmeath,Leinster,53.623845,-7.386133,matched_generic
Raharney,Westmeath,Leinster,53.519857,-7.120767,matched_generic
Ringtown,Westmeath,Leinster,53.643862,-7.301316,matched_generic
Rosemount GAA,Westmeath,Leinster,53.427477,-7.642052,matched_generic
Shandonagh,Westmeath,Leinster,53.510113,-7.402833,matched_gaa
Southern Gaels,Westmeath,Leinster,53.428041,-7.925549,matched_gaa
St. Brigids GAA,Westmeath,Leinster,53.416809,-7.302724,matched_generic
St. Joseph's,Westmeath,Leinster,53.431679,-7.558314,matched_generic
"St. Loman's GAA, Mullingar",Westmeath,Leinster,53.534709,-7.316355,matched_gaa
"St. Mary's GAA, Rochfortbridge",Westmeath,Leinster,53.41695,-7.302444,matched_generic
St. O. Plunkett's,Westmeath,Leinster,53.53478,-7.340916,matched_gaa
St. Paul's,Westmeath,Leinster,53.666795,-7.022662,matched_generic
Tang,Westmeath,Leinster,53.523101,-7.779863,matched_generic
The Downs,Westmeath,Leinster,53.507116,-7.241625,matched_generic
Tubberclair,Westmeath,Leinster,53.483047,-7.862943,matched_gaa
Turin,Westmeath,Leinster,53.579084,-7.203637,matched_generic
Tyrrellspass,Westmeath,Leinster,53.392822,-7.383439,matched_generic
Westmeath GAA,Westmeath,Leinster,53.528193,-7.340186,matched_gaa
Askamore-Kilrush,Wexford,Leinster,52.643043,-6.555793,matched_gaa
Ballyhogue GAA,Wexford,Leinster,52.431664,-6.605711,matched_gaa
Bannow Ballymitty GAA,Wexford,Leinster,52.256846,-6.733759,matched_gaa
Buffers Alley,Wexford,Leinster,52.56352,-6.327306,matched_gaa
Castletown Liam Mellows,Wexford,Leinster,52.7629391,-6.2329428,matched_gaa
Castletown Liam Mellows,Wexford,Leinster,52.710144,-6.204402,matched_gaa
Clonard GAA,Wexford,Leinster,52.338369,-6.478375,matched_gaa
Clonee GAA,Wexford,Leinster,52.622628,-6.481072,no_match
Clongeen GAA,Wexford,Leinster,52.304883,-6.764832,matched_gaa
Cloughbawn GAA,Wexford,Leinster,52.467568,-6.73189,matched_gaa
Craanford Fr. O'Regans,Wexford,Leinster,52.677789,-6.391762,matched_gaa
Crossabeg-Ballymurn,Wexford,Leinster,52.422311,-6.464413,matched_gaa
Davidstown-Courtnacuddy GAA,Wexford,Leinster,52.46203,-6.662402,matched_gaa
Duffry Rovers,Wexford,Leinster,52.552147,-6.700936,matched_generic
Faythe Harriers,Wexford,Leinster,52.351134,-6.484634,matched_gaa
